s,t,s1,s2,s3,s4,t1,t2,t3,t4
15128,7708,5,0,2,0,2,0,3,1
4492,1931,2,0,0,0,5,4,4,10
17371,6471,1,0,1,0,3,1,17,0
12963,15965,2,0,7,1,2,0,1,0
2292,14052,1,0,0,0,1,0,0,0
1567,7572,4,0,0,0,8,0,1,0
7938,5135,30,1,1,1,13,0,1,1
10563,16501,2,0,0,0,1,0,0,0
7501,7998,1,0,1,0,18,0,4,0
8731,4250,1,0,0,0,1,0,0,0
7762,6497,5,0,1,0,1,0,1,0
13736,290,33,0,3,0,37,6,3,0
6807,11655,59,0,2,0,5,1,3,0
9700,2011,2,0,1,0,7,0,1,0
1706,16962,4,2,5,7,15,0,0,0
7452,9277,1,0,0,2,40,0,0,4
8460,11643,1,0,0,0,1,0,0,0
6830,13360,4,0,0,0,107,5,4,2
14009,11976,26,2,6,0,1,0,0,0
14210,9199,6,0,4,1,14,0,6,1
1530,9846,1,2,0,0,5,0,1,0
7137,16065,3,0,3,0,1,0,0,0
5813,15646,38,5,1,0,1,1,0,0
6227,3243,28,7,22,1,5,0,4,0
3383,574,5,0,1,2,4,2,6,14
2288,13574,1,0,0,1,34,0,0,0
4940,16289,2,0,0,0,30,0,3,0
6353,2004,3,0,6,0,1,0,0,0
14734,13456,1,0,0,0,14,2,11,57
204,10589,1,0,0,0,3,0,0,1
15263,12153,4,1,3,0,14,0,0,0
5290,15974,1,0,0,0,3,0,0,0
723,15186,2,0,0,0,1,0,0,0
7615,9513,88,1,0,0,41,0,0,0
10541,5274,4,0,0,2,1,2,3,2
4911,10311,8,0,2,0,3,0,0,0
1146,12048,62,0,10,2,5,0,9,0
4025,14368,1,0,0,1,85,1,1,2
8918,3850,114,3,0,13,3,1,0,0
1431,9380,20,0,9,4,1,0,0,0
16048,9432,1,0,0,0,4,0,0,1
7514,6394,20,0,19,18,18,1,6,1
15693,17144,2,1,1,0,8,0,0,0
8918,3854,114,3,0,13,1,0,0,0
7939,16821,79,8,9,1,1,0,0,0
12894,12188,9,0,0,0,6,4,0,0
12684,15938,3,0,4,0,73,1,0,0
1325,1874,1,0,0,0,1,0,0,0
16958,7153,4,0,0,0,1,0,0,0
12335,6561,1,0,1,1,10,0,13,4
332,4866,3,2,2,39,9,0,2,0
12243,7332,6,0,0,12,2,1,0,5
10925,13360,25,0,1,0,107,5,4,2
9404,11868,1,0,0,0,1,1,1,0
5650,2498,1,2,0,0,6,1,2,0
13660,610,4,0,4,0,52,0,1,0
7892,79,19,0,0,0,17,0,0,2
14488,8350,1,0,0,0,2,0,0,0
13362,5822,6,0,0,1,1,0,0,0
3889,1419,119,3,16,9,13,0,6,0
9296,3957,1,0,0,0,1,0,0,0
5251,9836,8,2,18,0,1,0,0,0
15343,202,26,1,3,4,65,0,9,9
8649,4471,4,0,0,0,1,0,0,0
11045,2280,60,0,10,0,15,0,3,1
8062,508,3,0,0,0,39,0,1,0
9699,16634,1,0,0,1,6,0,1,1
6585,12663,6,0,1,0,1,1,0,0
7324,5128,1,0,0,0,4,0,0,0
15506,467,12,0,0,0,7,0,0,0
15318,616,1,0,0,0,4,1,4,0
11510,3039,51,2,6,33,15,2,2,84
1904,6839,2,0,0,0,3,0,0,0
16196,14633,2,2,12,10,3,0,0,0
6418,2936,1,0,0,0,1,0,0,0
9470,2931,2,0,3,1,143,22,55,199
7327,8901,8,0,0,0,1,0,0,0
13388,13170,1,0,0,0,1,0,1,0
10845,8021,25,0,2,0,3,0,0,0
6587,12329,1,0,2,1,12,4,0,0
12097,7716,1,0,0,0,1,0,0,0
6852,14022,1,6,12,7,2,9,46,66
12516,1168,23,12,4,0,1,0,0,0
8465,6014,2,0,0,0,1,0,0,0
6138,7846,1,0,0,0,1,0,0,0
15842,15616,17,0,0,0,9,0,0,0
6926,4231,18,1,24,6,23,1,10,3
9724,1332,23,0,0,1,79,2,2,6
8975,13134,1,0,0,0,12,0,0,0
13660,677,4,0,4,0,12,0,2,0
14009,11932,26,2,6,0,7,0,3,0
16308,2226,1,1,0,2,1,0,0,0
1325,1840,1,0,0,0,1,0,0,0
4329,17195,1,0,1,0,1,0,0,0
13736,2862,33,0,3,0,13,4,0,1
14544,13042,1,0,0,0,1,0,0,0
16654,4341,1,0,0,0,2,0,0,0
2345,8278,1,3,0,0,38,0,0,0
9859,1072,41,3,10,1,121,16,29,34
6926,4226,18,1,24,6,14,0,8,1
1146,12085,62,0,10,2,99,0,2,1
4316,9770,1,0,0,0,11,0,0,9
9308,5024,82,2,15,1,24,0,7,2
10799,239,2,0,0,0,1,0,0,0
13102,13274,6,0,1,0,3,0,1,0
3901,15263,33,0,0,0,4,1,3,0
12516,1146,23,12,4,0,62,0,10,2
14158,12079,12,0,0,0,28,5,8,0
4213,1268,5,0,0,0,50,3,42,2
11090,15544,7,0,0,0,2,0,0,0
12821,5483,24,0,12,20,89,1,6,3
4461,1395,1,0,0,0,1,0,0,0
3826,13927,2,0,0,0,20,0,1,0
16839,9639,9,0,2,1,1,0,0,0
4970,3700,2,0,2,0,16,0,1,0
12017,16854,5,0,0,0,7,0,0,1
17391,6126,1,0,0,0,5,0,1,0
13755,4025,8,4,0,4,1,0,0,1
9726,13409,1,0,0,0,1,0,0,0
6879,10757,1,0,2,0,1,1,4,0
193,3874,5,0,0,0,21,0,6,13
11732,14891,8,0,0,0,2,1,0,0
8536,14222,2,10,5,8,142,25,60,238
7676,15964,110,0,6,1,3,0,0,0
4533,9292,201,2,12,4,3,0,1,0
10406,17191,1,0,0,0,6,0,0,0
4602,5004,1,0,0,0,3,0,0,0
3507,8431,10,4,2,3,4,0,0,0
12409,801,37,0,14,0,5,0,0,0
7817,15151,1,0,0,0,1,0,0,0
446,6438,7,0,0,0,46,0,0,1
2734,3689,1,0,0,0,1,0,0,0
8351,4416,1,0,0,0,1,0,0,0
15867,8057,51,1,23,8,15,0,0,3
1215,15867,15,0,5,0,51,1,23,8
10789,15968,38,0,6,1,1,0,0,0
5455,5332,16,0,1,0,2,1,1,3
13122,16966,1,0,0,0,1,0,0,0
7620,13280,1,0,0,0,19,0,1,0
12247,16752,2,1,0,1,3,0,1,0
15021,16237,21,0,0,0,2,0,0,0
451,2318,17,0,0,0,2,0,0,0
3541,8088,58,1,5,2,1,0,0,0
15706,17174,1,0,0,0,1,1,8,0
5709,16770,39,1,1,0,7,0,1,0
16226,13524,8,0,4,0,34,0,0,0
13234,1797,3,0,0,0,3,0,0,1
3257,15167,1,0,0,0,1,0,0,0
11726,8902,1,0,0,0,18,0,5,0
11905,13705,10,0,6,2,22,2,5,43
2261,8803,1,0,0,0,5,0,0,0
4132,15379,1,0,0,0,1,0,0,0
9859,1046,41,3,10,1,1,1,0,0
15524,13399,14,7,6,90,1,1,0,0
8405,10275,1,0,2,1,93,2,30,9
2062,14132,1,0,5,0,1,0,5,0
9306,2321,1,0,0,1,10,0,48,3
279,8647,5,1,3,1,4,0,1,1
10782,6736,53,0,11,83,2,0,0,2
12000,3111,5,0,0,0,13,0,5,0
3840,10793,4,0,1,0,56,10,21,3
12385,8352,1,0,0,1,19,1,2,3
14558,2525,1,0,0,0,1,0,0,0
10304,10778,2,0,0,0,7,0,1,4
7240,5640,1,0,0,0,1,0,0,0
5463,14827,1,0,0,0,1,0,0,2
3600,14563,2,0,0,0,37,0,7,0
8901,16901,1,0,0,0,1,0,0,0
403,5929,70,0,2,0,147,0,20,13
4564,9846,1,0,0,0,5,0,1,0
2210,8505,1,3,1,5,1,0,0,0
13736,2817,33,0,3,0,9,1,2,0
16181,9497,1,11,3,3,42,21,17,5
16855,12821,29,0,0,0,24,0,12,20
6899,2185,4,0,0,0,1,0,0,0
8407,7190,1,0,0,0,3,0,0,0
2380,16480,16,0,15,5,1,1,2,1
4841,11920,4,0,0,0,1,0,0,0
1583,11223,15,0,0,0,55,0,5,1
4700,7064,8,0,0,0,2,0,0,0
12065,12948,1,0,0,0,1,0,0,0
16437,4888,1,0,0,0,4,2,0,2
9435,2261,2,0,0,0,1,0,0,0
2931,551,143,22,55,199,1,0,0,0
15103,1522,4,0,0,0,5,1,6,4
2825,4446,1,0,0,0,1,0,0,0
16532,17243,1,0,0,0,118,0,1,3
13999,6691,2,0,2,5,129,4,75,14
2543,10533,1,0,0,0,2,0,2,1
11775,3837,1,0,0,0,1,0,0,0
2269,2890,1,0,0,0,1,0,0,0
7998,9346,18,0,4,0,35,0,13,9
17246,13395,1,0,0,0,6,0,0,0
7409,3071,2,0,0,0,6,0,0,0
17170,10793,3,0,0,0,56,10,21,3
15577,629,3,0,2,0,5,4,6,3
3003,2004,6,0,0,17,1,0,0,0
587,15105,8,0,0,0,1,0,0,0
6774,10689,1,0,0,0,22,0,2,0
9697,16935,2,0,1,0,1,0,0,0
100,9973,9,0,5,0,4,4,3,0
15735,14683,3,0,0,0,7,0,0,0
8732,2791,3,0,0,0,1,1,0,0
44,3852,1,0,0,0,3,0,0,0
10304,10799,2,0,0,0,2,0,0,0
11696,3047,17,0,4,29,74,1,13,57
9868,7643,1,0,0,0,1,0,0,0
11092,15287,2,0,0,0,5,3,1,0
2380,6394,16,0,15,5,18,1,6,1
1265,11640,27,1,6,1,26,0,0,3
7923,1431,1,0,0,0,20,0,9,4
13893,13775,81,0,3,11,5,0,1,1
22,9830,2,0,0,0,1,0,0,0
13377,9517,1,0,0,0,1,0,0,0
7234,2865,1,0,0,0,2,0,0,0
8450,4941,2,0,0,0,7,0,0,0
3012,17180,12,3,0,24,1,0,0,0
10222,4064,15,0,0,0,7,0,5,0
9592,16827,2,0,0,0,2,0,0,0
8535,2861,6,0,1,0,33,2,1,0
281,12636,2,0,0,0,1,0,1,0
14938,2374,19,0,0,0,2,1,0,0
6658,3276,24,2,4,0,3,0,0,0
14550,8439,2,0,0,0,1,0,0,0
6454,17041,1,0,0,0,1,0,0,0
8472,7305,2,0,0,0,1,0,0,0
11619,2931,1,1,0,0,143,22,55,199
