s,t,s1,s2,s3,s4,t1,t2,t3,t4
0,2,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,0
0,21,0,0,0,0,0,0,0,0
0,46,0,0,0,0,0,0,0,0
0,53,0,0,0,0,0,0,0,0
0,65,0,0,0,0,0,0,0,0
1,36,0,0,0,0,0,0,0,0
1,44,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0,0
2,7,0,0,0,0,0,0,0,0
2,11,0,0,0,0,0,0,0,0
2,12,0,0,0,0,0,0,0,0
2,16,0,0,0,0,0,0,0,0
2,21,0,0,0,0,0,0,0,0
2,38,0,0,0,0,0,0,0,0
2,41,0,0,0,0,0,0,0,0
2,44,0,0,0,0,0,0,0,0
2,46,0,0,0,0,0,0,0,0
2,53,0,0,0,0,0,0,0,0
2,55,0,0,0,0,0,0,0,0
2,60,0,0,0,0,0,0,0,0
2,65,0,0,0,0,0,0,0,0
3,7,0,0,0,0,0,0,0,0
3,11,0,0,0,0,0,0,0,0
3,16,0,0,0,0,0,0,0,0
3,21,0,0,0,0,0,0,0,0
3,25,0,0,0,0,0,0,0,0
3,38,0,0,0,0,0,0,0,0
3,41,0,0,0,0,0,0,0,0
3,46,0,0,0,0,0,0,0,0
3,53,0,0,0,0,0,0,0,0
3,55,0,0,0,0,0,0,0,0
3,65,0,0,0,0,0,0,0,0
5,21,0,0,0,0,0,0,0,0
7,12,0,0,0,0,0,0,0,0
7,16,0,0,0,0,0,0,0,0
7,21,0,0,0,0,0,0,0,0
7,41,0,0,0,0,0,0,0,0
7,46,0,0,0,0,0,0,0,0
7,53,0,0,0,0,0,0,0,0
7,65,0,0,0,0,0,0,0,0
8,54,0,0,0,0,0,0,0,0
9,45,0,0,0,0,0,0,0,0
10,70,0,0,0,0,0,0,0,0
11,16,0,0,0,0,0,0,0,0
11,21,0,0,0,0,0,0,0,0
11,38,0,0,0,0,0,0,0,0
11,46,0,0,0,0,0,0,0,0
11,55,0,0,0,0,0,0,0,0
11,60,0,0,0,0,0,0,0,0
11,65,0,0,0,0,0,0,0,0
12,44,0,0,0,0,0,0,0,0
12,45,0,0,0,0,0,0,0,0
12,46,0,0,0,0,0,0,0,0
12,60,0,0,0,0,0,0,0,0
15,55,0,0,0,0,0,0,0,0
16,21,0,0,0,0,0,0,0,0
16,38,0,0,0,0,0,0,0,0
16,41,0,0,0,0,0,0,0,0
16,46,0,0,0,0,0,0,0,0
16,53,0,0,0,0,0,0,0,0
16,65,0,0,0,0,0,0,0,0
17,26,0,0,0,0,0,0,0,0
21,25,0,0,0,0,0,0,0,0
21,46,0,0,0,0,0,0,0,0
21,53,0,0,0,0,0,0,0,0
21,55,0,0,0,0,0,0,0,0
21,60,0,0,0,0,0,0,0,0
21,65,0,0,0,0,0,0,0,0
21,73,0,0,0,0,0,0,0,0
24,38,0,0,0,0,0,0,0,0
24,41,0,0,0,0,0,0,0,0
25,38,0,0,0,0,0,0,0,0
25,46,0,0,0,0,0,0,0,0
25,60,0,0,0,0,0,0,0,0
25,65,0,0,0,0,0,0,0,0
38,41,0,0,0,0,0,0,0,0
38,46,0,0,0,0,0,0,0,0
38,65,0,0,0,0,0,0,0,0
41,46,0,0,0,0,0,0,0,0
41,53,0,0,0,0,0,0,0,0
41,55,0,0,0,0,0,0,0,0
41,65,0,0,0,0,0,0,0,0
45,64,0,0,0,0,0,0,0,0
46,53,0,0,0,0,0,0,0,0
46,55,0,0,0,0,0,0,0,0
46,60,0,0,0,0,0,0,0,0
46,65,0,0,0,0,0,0,0,0
46,73,0,0,0,0,0,0,0,0
53,55,0,0,0,0,0,0,0,0
53,60,0,0,0,0,0,0,0,0
53,65,0,0,0,0,0,0,0,0
55,60,0,0,0,0,0,0,0,0
55,65,0,0,0,0,0,0,0,0
60,65,0,0,0,0,0,0,0,0
